index,timestamp,input_token_length,output_token_length,jct,ttft,tbt
0,0.0,4808,10,8.26859712600708,7.415639638900757,0.07754158973693848
1,0.052,3180,8,8.224794149398804,7.414696931838989,0.0900108019510905
2,0.098189,110,27,15.020381927490234,7.779147624969482,0.25861551080431255
3,0.140684,7433,14,8.306210994720459,7.736802101135254,0.03796059290568034
4,0.444994,34,12,7.959722518920898,7.432637929916382,0.04054496838496281
5,0.539187,374,14,7.907753229141235,7.338311433792114,0.037962786356608075
6,0.698571,6985,9,7.648141145706177,7.17891001701355,0.04692311286926269
7,1.016041,34,23,7.6188037395477295,6.861490964889526,0.0315546989440918
8,1.299312,1145,7,6.9960901737213135,6.578490257263184,0.052199989557266235
9,1.299337,201,24,7.3546202182769775,6.577521562576294,0.031083946228027345
10,1.398922,137,9,6.94792103767395,6.479183912277222,0.04687371253967285
11,1.399087,7427,8,6.920793771743774,6.478283166885376,0.04916784498426649
12,29.479069,1555,19,1.018502950668335,0.0932009220123291,0.04870010677136873
13,29.580407,3893,19,0.9534986019134521,0.13425660133361816,0.04311800003051758
14,29.610325,1827,10,0.5047931671142578,0.10427260398864746,0.040052056312561035
15,29.679153,394,17,0.7707564830780029,0.0773470401763916,0.040788790758918315
16,29.717488,675,6,0.2581310272216797,0.08058857917785645,0.029590408007303875
17,30.177869,7436,9,0.5115749835968018,0.1293201446533203,0.04247275988260905
18,30.225731,158,26,1.192685842514038,0.08077716827392578,0.042765718240004316
19,30.482726,6587,18,0.788959264755249,0.12902188301086426,0.036663187874688044
20,30.503459,763,8,0.3596816062927246,0.10892963409423828,0.03134399652481079
21,30.983655,1556,18,0.8656818866729736,0.07813882827758789,0.04375239213307699
22,31.285416,5108,12,0.6697704792022705,0.09601426124572754,0.04781301816304525
23,31.454687,159,127,4.766434669494629,0.07924914360046387,0.036906972644835945
24,31.455017,458,67,2.8577704429626465,0.07830142974853516,0.04148461213752405
25,31.640022,2464,30,1.301685094833374,0.09413647651672363,0.04025162061055501
26,31.807122,4009,51,2.2060420513153076,0.1104116439819336,0.04109079230065439
27,32.627382,1632,9,0.4011423587799072,0.09678125381469727,0.03381790055169
28,32.707961,2567,45,1.8647804260253906,0.07119464874267578,0.03985746171739366
29,33.079995,730,36,1.5439391136169434,0.056729793548583984,0.04131137000189887
