index,timestamp,input_token_length,output_token_length,jct,ttft,tbt
0,0.0,374,44,8.942552328109741,7.480954647064209,0.03321812911467119
1,4.314579,396,109,6.0422468185424805,3.4153902530670166,0.023880514231595127
2,4.541877,879,55,4.7016637325286865,3.1911089420318604,0.026974192687443325
3,4.710427,91,16,3.728206157684326,3.023407220840454,0.041458760990816
4,5.892655,91,16,2.5444867610931396,1.8393075466156006,0.04407370090484619
5,6.311529,381,84,3.5326056480407715,1.4202027320861816,0.025147653761364165
6,7.745497,1313,142,3.2783021926879883,0.3665196895599365,0.020505510585408816
7,8.251431,388,84,1.7681410312652588,0.03805708885192871,0.0205962374096825
8,8.337079,242,14,0.31566286087036133,0.03202176094055176,0.020260078566414968
9,8.464985,209,152,3.102060317993164,0.043576955795288086,0.02012160106709129
10,8.700213,394,124,2.5288729667663574,0.04329395294189453,0.020044992046971476
11,9.427468,394,59,1.2379374504089355,0.04043269157409668,0.020296690827709133
12,9.582558,1315,174,3.1447293758392334,0.04227399826049805,0.01783020331941802
13,10.106379,2221,15,0.3487675189971924,0.07218742370605469,0.01843867301940918
14,10.546126,389,90,1.6713731288909912,0.03952455520629883,0.018131650818718804
15,11.157911,415,106,1.7180984020233154,0.047368764877319336,0.015761600350433926
16,11.430904,120,12,0.24658727645874023,0.038602352142333984,0.017332077026367188
17,11.836633,369,74,7.617705583572388,0.03799772262573242,0.10242848460738724
18,12.886545,206,162,10.044162034988403,6.539736747741699,0.021499541639550333
19,13.025088,1353,142,9.494565725326538,6.4010910987854,0.02163268969609187
20,13.049843,197,152,9.667293310165405,6.376617193222046,0.021507687038845487
21,14.05955,181,154,8.715323209762573,5.366391658782959,0.021606010006320092
22,14.09778,388,54,6.5479302406311035,5.328867197036743,0.022164782610806552
23,14.293309,4085,62,6.5391271114349365,5.13292670249939,0.02232064141167535
24,17.420918,2584,170,5.683825492858887,2.003476142883301,0.021522510818570678
25,17.792938,203,147,4.8248608112335205,1.6332156658172607,0.021565169901461213
26,18.160513,126,194,5.414780139923096,1.2658452987670898,0.021276588929005157
27,18.463892,389,87,2.9206948280334473,0.9628143310546875,0.02224864201112227
28,18.979439,2548,116,3.015538454055786,0.4471549987792969,0.021951995344243497
29,19.913927,91,16,0.4019186496734619,0.06779932975769043,0.019654077642104206
30,19.945197,4081,74,1.7028508186340332,0.08534622192382812,0.021858170225813583
31,20.478941,181,123,2.628786563873291,0.031538963317871094,0.021115834150857073
32,20.658353,191,217,4.444403648376465,0.03911185264587402,0.020300883851293045
33,20.941916,27,183,3.721684694290161,0.05600762367248535,0.020031022243812435
34,21.370065,203,217,4.45584774017334,0.06092715263366699,0.020160186181374645
35,21.375087,398,81,1.7115046977996826,0.056328535079956055,0.020434273613823786
36,22.712872,126,172,3.5084919929504395,0.03325533866882324,0.020204864269079165
37,22.994856,209,181,3.7504570484161377,0.04584932327270508,0.020467445995267584
38,23.371403,209,181,3.744068145751953,0.047280311584472656,0.020424242177720885
39,24.146296,28,175,3.5668606758117676,0.03986859321594238,0.020154240471976143
40,24.768385,437,88,1.9363582134246826,0.04133105278015137,0.021534399552778763
41,24.894961,181,104,2.220747232437134,0.02935647964477539,0.021071064930695754
42,25.081422,203,138,2.7694475650787354,0.03356790542602539,0.019825214925019638
43,25.223379,200,177,3.3386595249176025,0.2993171215057373,0.017268990928476505
44,25.24984,4073,58,1.5549185276031494,0.3268120288848877,0.021174249977901065
45,25.324254,91,16,0.5591423511505127,0.25162839889526367,0.019219622015953064
46,25.917107,1087,401,6.757126569747925,0.04065251350402832,0.016749311860957346
47,26.254478,382,64,1.294670581817627,0.03923630714416504,0.019616160541772842
48,26.407057,412,102,1.8577589988708496,0.06549334526062012,0.017571231898139503
49,26.461144,194,217,3.7395927906036377,0.03208422660827637,0.01708529292163761
50,27.330266,203,217,3.5817208290100098,0.0422670841217041,0.016310846750637355
51,27.552529,200,217,3.549086570739746,0.034384727478027344,0.016196782687842023
52,28.090234,64,174,2.896566867828369,0.03546404838562012,0.01644311965196982
53,28.353357,458,123,2.1182308197021484,0.04003453254699707,0.016895904773619116
54,28.578535,1352,158,2.6230640411376953,0.03979301452636719,0.01634981662412233
55,28.607772,874,404,6.705218315124512,0.04094839096069336,0.016495717634068856
56,28.764379,378,58,0.965933084487915,0.025936603546142578,0.016206835878306423
57,29.340288,91,16,0.2836439609527588,0.03258872032165527,0.01569095253944397
58,29.686078,4074,50,0.9093830585479736,0.08228373527526855,0.0165419864654541
59,30.181499,389,89,1.3736867904663086,0.031912803649902344,0.015076112211420295
60,31.269171,212,183,2.9733638763427734,0.027367353439331055,0.01609834165521007
61,31.62049,1085,394,7.350441217422485,0.048291683197021484,0.018723460344167855
62,31.760229,407,131,2.1340179443359375,0.0374755859375,0.01600414014044609
63,31.917003,396,82,1.2410297393798828,0.028305530548095703,0.014789319619899842
64,32.388505,1029,399,7.896753787994385,0.04156184196472168,0.01988656188868269
65,33.235882,962,399,8.354164600372314,0.03707122802734375,0.021055932588215115
66,33.413528,203,217,4.208399057388306,0.03527712821960449,0.01959212173318639
67,33.491001,898,94,1.7823843955993652,0.049814462661743164,0.0184315950312513
68,33.52677,181,253,4.982244491577148,0.03158402442932129,0.019882170550794488
69,33.645713,320,18,0.3998074531555176,0.05517125129699707,0.019146455658806696
70,33.748702,1119,414,8.770028829574585,0.05185437202453613,0.02126384014036597
71,33.825,124,157,2.9480252265930176,0.042897939682006836,0.018503995458031917
72,33.932529,1313,179,3.424344301223755,0.039032936096191406,0.019344636372157505
